"County Economic Status in the United States, Fiscal Year 2025",,,,,,,,,,,,,,
Appalachian Regional Commission,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,Absolute Data Values,,,Indicator Index Values,,,,,,
FIPS,State,County,ARC County,"County Economic Status, FY 2025","Three-Year Average Unemployment Rate, 2020-2022","Per Capita Market Income, 2022","Poverty Rate, 2018-2022","Three-Year Avg. Unemp.Rate, Percent of U.S., 2020-2022","PCMI, Percent of U.S., 2022","PCMI, Percent of U.S., Inversed, 2022","Poverty Rate, Percent of U.S., 2018-2022","Composite Index Value, FY 2025","Index Value Rank (of 3,106 counties in U.S., 1 is the best), FY 2025","Quartile (1 is the best), FY 2025"
,,,,,,,,,,,,,,
01001,Alabama,Autauga,,Transitional,3.4,"38,033",11.4,60.7,71.1,140.6,90.7,97.3,985,2
01003,Alabama,Baldwin,,Competitive,3.8,"44,411",10.2,66.8,83.1,120.4,81.5,89.5,698,1
01005,Alabama,Barbour,,Distressed,5.8,"25,490",24.2,102.2,47.7,209.7,192.8,168.3,"2,868",4
01007,Alabama,Bibb,ARC,At-Risk,4.4,"24,957",20.6,77.4,46.7,214.2,164.5,152.1,"2,654",4
01009,Alabama,Blount,ARC,Transitional,3.0,"32,652",14.2,53.1,61.1,163.7,113.1,110.0,"1,426",2
01011,Alabama,Bullock,,Distressed,4.3,"19,194",27.9,75.3,35.9,278.5,222.9,192.3,"3,013",4
01013,Alabama,Butler,,At-Risk,6.1,"31,557",21.1,107.3,59.0,169.4,168.4,148.4,"2,584",4
01015,Alabama,Calhoun,ARC,At-Risk,4.9,"28,757",18.0,87.0,53.8,185.9,143.9,138.9,"2,361",4
01017,Alabama,Chambers,ARC,At-Risk,4.5,"24,645",17.9,80.2,46.1,216.9,142.6,146.6,"2,548",4
01019,Alabama,Cherokee,ARC,Transitional,3.3,"30,092",14.3,58.5,56.3,177.7,113.8,116.6,"1,662",3
01021,Alabama,Chilton,ARC,Transitional,3.5,"29,828",14.5,61.6,55.8,179.2,115.3,118.7,"1,742",3
01023,Alabama,Choctaw,,At-Risk,5.2,"29,534",19.1,91.7,55.2,181.0,152.7,141.8,"2,438",4
01025,Alabama,Clarke,,Distressed,6.9,"29,159",22.4,121.4,54.5,183.3,178.4,161.1,"2,800",4
01027,Alabama,Clay,ARC,Transitional,3.1,"26,507",17.6,55.4,49.6,201.7,140.2,132.4,"2,172",3
01029,Alabama,Cleburne,ARC,Transitional,3.3,"31,736",12.9,58.4,59.4,168.5,102.9,109.9,"1,424",2
01031,Alabama,Coffee,,Transitional,3.4,"37,461",16.3,59.7,70.1,142.7,130.0,110.8,"1,454",2
01033,Alabama,Colbert,ARC,Transitional,4.7,"30,749",15.9,83.1,57.5,173.9,126.7,127.9,"2,039",3
01035,Alabama,Conecuh,,At-Risk,5.5,"22,953",18.4,96.2,42.9,232.9,147.0,158.7,"2,767",4
